body_height,body_height_time,body_temperature
154.5,2019,0.0
0.0,0,37.776
104.4,2018,38.163
182.3,2017,0.0
169.7,2016,0.0
180.2,2020,39.927
75.0,2021,0.0
90.9,2021,38.716
94.9,2016,37.387
172.7,2021,37.54
93.5,2020,39.354
86.6,2020,39.549
0.0,0,0.0
174.7,1978,37.819
89.2,2021,38.568
166.8,1983,37.258
180.0,2013,0.0
170.2,2016,0.0
98.3,2020,40.47
171.6,2013,37.597
150.2,2020,38.876
164.3,2021,41.719
186.8,1997,37.761
162.2,2021,41.74
95.5,2021,37.298
88.8,2019,37.046
81.3,2021,0.0
123.2,2021,39.394
172.0,2013,0.0
190.2,2020,0.0
74.2,2021,0.0
69.3,1993,0.0
187.9,2021,37.134
178.3,2017,0.0
181.0,2012,37.223
86.9,2021,37.73
82.3,2016,37.409
92.3,2014,37.367
176.4,2021,41.001
78.7,2021,0.0
108.0,2021,40.91
162.9,2021,37.318
180.6,2015,0.0
167.7,2021,41.83
126.6,2021,0.0
191.2,2020,38.181
75.5,2000,0.0
114.6,2018,0.0
181.4,2017,37.424
98.7,2021,37.427
173.9,2019,37.767
132.1,2015,37.847
94.2,2021,0.0
0.0,0,0.0
179.2,2017,37.214
179.2,2012,0.0
0.0,0,37.822
186.2,2017,37.509
76.3,2021,0.0
186.4,2016,37.113
171.6,2019,0.0
0.0,0,0.0
175.0,2013,37.311
179.8,2020,0.0
166.8,2012,37.471
183.1,2019,37.179
59.0,2021,0.0
63.0,2021,0.0
73.1,2021,0.0
65.5,2020,0.0
76.1,2021,0.0
148.4,2018,39.04
89.9,2020,41.003
77.8,2016,0.0
78.7,2020,37.245
133.4,2017,37.335
81.2,2021,39.017
166.5,2021,40.78
153.5,2020,37.702
165.7,2020,38.731
84.0,2020,37.546
182.6,2014,0.0
104.6,2019,37.857
179.6,2018,37.447
139.5,2021,37.371
173.3,2017,0.0
142.3,2018,0.0
55.3,2021,0.0
180.1,2015,37.515
75.2,2021,0.0
190.2,2021,37.854
182.8,2018,0.0
74.2,2019,0.0
163.3,2018,37.515
179.0,1993,37.8
0.0,0,0.0
169.2,2017,37.081
173.1,2021,40.398
73.6,2020,39.782
113.2,2021,37.843
123.3,2018,37.602
113.0,2019,0.0
101.7,2021,0.0
128.5,2021,41.791
123.2,2020,37.391
105.8,1971,37.973
173.1,2016,38.504
158.8,2020,37.849
163.3,2016,37.143
0.0,0,0.0
107.9,2021,39.449
177.6,2021,0.0
74.8,2021,0.0
119.6,2021,0.0
109.1,2018,0.0
